userId,restaurantId,orderId,rating,comment,date
cd3d220a-3cb0-4e66-81bc-decafec6ecb2,59338c02-2183-47db-8fe8-45c11e855cba,8d5a0f04-8ae2-4fd4-8e49-fd9c9c37d9cc,4,Excelente servicio,2024-07-23T00:00:00
7e34b6ae-5500-4fda-87cd-76cfb84211bb,49727cb3-48e9-4e9a-9df2-062039db6815,52564684-ee2d-4739-8720-c9ab75a45a32,1,No me gustó,2024-01-10T00:00:00
6e10b1d4-0cd5-4a0a-94b4-501d04e5deb0,9c87782d-81d0-496b-a1e3-030cb2df02bd,0f37d21d-cf6a-41e4-bde0-c0a752cc8882,2,Comida deliciosa,2023-11-02T00:00:00
0643043b-0555-4ad1-9b5a-bdb967fc8ea7,59338c02-2183-47db-8fe8-45c11e855cba,bc989470-ee7c-45fe-b5b2-f5aed11f9ea1,3,Comida deliciosa,2024-10-21T00:00:00
302a91f7-39fc-4136-9b89-35d85372410d,f1403ffc-67d0-41d3-938b-508ee61fe92e,2abc429f-0cd3-4e7f-ae5f-bbb16e929831,5,Muy lento,2023-05-18T00:00:00
7614fcf4-4cda-4921-8337-ffa3a96c6001,54f1c8c9-f29a-42c2-8f6d-e548e95aa104,bf1d807a-27d5-40e6-8c65-fd6e6522b495,3,Excelente servicio,2024-01-26T00:00:00
50b5db70-2475-4622-af25-74c2def6e472,1f5c0559-916c-4f60-8133-b479467c722f,69c2157f-a450-41d2-b17e-35fbe0c573d1,1,Repetiré sin duda,2023-02-21T00:00:00
d23193b9-2df7-493d-bd5c-b7d0b6132dc5,9c87782d-81d0-496b-a1e3-030cb2df02bd,8d85eab3-2718-4089-a4ac-602ef1674d81,2,Excelente servicio,2023-01-07T00:00:00
463b104e-3dff-46df-a6e5-06b716a21388,1f5c0559-916c-4f60-8133-b479467c722f,e2d7fd57-4805-4689-b597-e0b10be6813f,4,Muy lento,2024-10-07T00:00:00
1ea56a0f-2fe6-4ce7-bbdc-8904c4bbd881,49727cb3-48e9-4e9a-9df2-062039db6815,0b7f2f00-d790-4dda-92b9-29974bd40b0d,5,No me gustó,2023-11-02T00:00:00
