_id,restauranteId,nombre,descripcion,precio,categoria,imagenId
d15ff9ab-c8a7-427f-9984-ac1ed7eb44f1,1e28c03d-1130-4fcc-bd9e-f4bdcd4f67da,Platillo 95bab4,Delicioso platillo preparado con ingredientes frescos.,59.07,bebida,62a58721-4171-4cab-a9a5-b3605244202b
c2ee16ca-8782-4540-bb74-925fba77e3cc,1e28c03d-1130-4fcc-bd9e-f4bdcd4f67da,Platillo e9ae52,Delicioso platillo preparado con ingredientes frescos.,98.73,bebida,93daab19-0b09-4065-b7ca-98e42a19d0f6
1d5efe25-69b2-4c04-828b-295b2630bb83,1e28c03d-1130-4fcc-bd9e-f4bdcd4f67da,Platillo 064c97,Delicioso platillo preparado con ingredientes frescos.,35.54,entrada,733351ef-299c-4a12-8454-66849334d4e7
5565e071-822e-4690-a38a-ac9de0aeebd6,1e28c03d-1130-4fcc-bd9e-f4bdcd4f67da,Platillo de8911,Delicioso platillo preparado con ingredientes frescos.,82.46,postre,5af1cb0b-35a6-4271-a765-47badc5cde51
7724dcd9-5c86-4ea0-8bdc-efc9a7dea662,1e28c03d-1130-4fcc-bd9e-f4bdcd4f67da,Platillo 61fcc8,Delicioso platillo preparado con ingredientes frescos.,57.7,entrada,96672041-ffff-4ac2-b0ea-28b90515e77e
f9a5ac4d-ceb2-4256-a383-f0dbfe0dcae0,3738412c-9d22-4b76-a8f2-4a50a5f82e02,Platillo e5816e,Delicioso platillo preparado con ingredientes frescos.,82.83,entrada,8b91e20d-f39f-4f41-8361-206427286c8c
9c5bda69-ca67-4864-b888-01bd5da61fb3,3738412c-9d22-4b76-a8f2-4a50a5f82e02,Platillo b213e8,Delicioso platillo preparado con ingredientes frescos.,38.73,bebida,43d055bc-69d4-4f9f-bf1e-51959ca662b0
1e0a8d96-120f-43dc-82e9-1cb742decc77,3738412c-9d22-4b76-a8f2-4a50a5f82e02,Platillo 9c1a48,Delicioso platillo preparado con ingredientes frescos.,70.13,plato fuerte,bcc15fc0-a980-425c-9bc9-0af0a33503ef
6689802d-91f3-42d2-91d7-f1f287b89da8,3738412c-9d22-4b76-a8f2-4a50a5f82e02,Platillo 907c1d,Delicioso platillo preparado con ingredientes frescos.,66.95,plato fuerte,2266b6e0-6608-4d3d-9cf2-e4a08ac433d5
d6479c4b-4ab3-40ea-84d2-4d35a9d63ae3,3738412c-9d22-4b76-a8f2-4a50a5f82e02,Platillo 684001,Delicioso platillo preparado con ingredientes frescos.,74.28,entrada,0705b97a-52a6-45e3-bbc1-c3dd83cd8d89
4cb967f4-041f-4cb6-ad91-50dcc6d23b04,3b0ddef6-005b-4ebd-b9b5-75242bca19fc,Platillo 59fe55,Delicioso platillo preparado con ingredientes frescos.,39.72,bebida,88e9c83c-7f52-4f9b-a97d-24ae2baabb9e
3b1700d2-ace9-4cf6-ba91-d12737818420,3b0ddef6-005b-4ebd-b9b5-75242bca19fc,Platillo 1598ee,Delicioso platillo preparado con ingredientes frescos.,97.11,postre,f5f2a83f-8895-43b1-893c-ca31fd0aeabe
c5b800d8-1429-450f-b989-485c1bdba7bf,3b0ddef6-005b-4ebd-b9b5-75242bca19fc,Platillo 61cb0c,Delicioso platillo preparado con ingredientes frescos.,32.23,postre,eb3137df-d56b-4db0-b435-6aaa12566742
ce848bad-92db-44e8-8da1-0a08c2c76ec0,3b0ddef6-005b-4ebd-b9b5-75242bca19fc,Platillo 4db53e,Delicioso platillo preparado con ingredientes frescos.,70.14,entrada,95c503e0-d3a9-4f17-b1c9-290705649228
3ab6fea2-cd4b-4c02-b5d6-f031b742652e,3b0ddef6-005b-4ebd-b9b5-75242bca19fc,Platillo 295d7b,Delicioso platillo preparado con ingredientes frescos.,77.86,postre,419ffb4e-9a44-4222-9137-ce82d0cb28b8
