userId,restaurantId,date,status,total,items
fd293766-28e1-45bc-ba80-7924b31b7e3b,09e6015b-da8f-4b41-bef5-758aea2fd399,2023-05-12T00:00:00,enviado,352.13,"[{""menuItemId"": 25, ""quantity"": 2}, {""menuItemId"": 28, ""quantity"": 3}]"
e1ab373d-dc97-44c9-86c8-90044a8918f0,09e6015b-da8f-4b41-bef5-758aea2fd399,2023-01-17T00:00:00,pendiente,218.18,"[{""menuItemId"": 29, ""quantity"": 1}, {""menuItemId"": 26, ""quantity"": 1}, {""menuItemId"": 25, ""quantity"": 1}]"
a06b69ae-9255-468a-8c2e-5d6c83b5a970,f1403ffc-67d0-41d3-938b-508ee61fe92e,2023-12-19T00:00:00,enviado,114.3,"[{""menuItemId"": 3, ""quantity"": 3}]"
a33221cf-b9a7-4ac7-8f3c-2e2875064f83,09e6015b-da8f-4b41-bef5-758aea2fd399,2024-04-30T00:00:00,cancelado,636.82,"[{""menuItemId"": 28, ""quantity"": 3}, {""menuItemId"": 26, ""quantity"": 2}, {""menuItemId"": 27, ""quantity"": 1}, {""menuItemId"": 29, ""quantity"": 2}]"
c2a279fa-09cf-4c3b-88b6-5495b98922d3,9c87782d-81d0-496b-a1e3-030cb2df02bd,2023-01-02T00:00:00,entregado,647.53,"[{""menuItemId"": 37, ""quantity"": 3}, {""menuItemId"": 35, ""quantity"": 2}, {""menuItemId"": 39, ""quantity"": 2}]"
44591ae0-e9bc-4b43-bd5d-0d1716cd7ed7,54f1c8c9-f29a-42c2-8f6d-e548e95aa104,2024-01-19T00:00:00,entregado,525.38,"[{""menuItemId"": 9, ""quantity"": 1}, {""menuItemId"": 5, ""quantity"": 3}, {""menuItemId"": 6, ""quantity"": 1}, {""menuItemId"": 7, ""quantity"": 2}]"
aa6c1f1e-615a-4099-9858-f4ae99f5a416,09e6015b-da8f-4b41-bef5-758aea2fd399,2024-08-22T00:00:00,enviado,201.73,"[{""menuItemId"": 27, ""quantity"": 1}, {""menuItemId"": 25, ""quantity"": 2}]"
819f8877-23f6-4353-9a67-6bc9170da336,09e6015b-da8f-4b41-bef5-758aea2fd399,2024-01-10T00:00:00,entregado,303.17,"[{""menuItemId"": 25, ""quantity"": 2}, {""menuItemId"": 29, ""quantity"": 3}]"
3b7e376b-f249-436c-8560-bfa53865b81c,49727cb3-48e9-4e9a-9df2-062039db6815,2024-09-01T00:00:00,entregado,233.7,"[{""menuItemId"": 16, ""quantity"": 1}, {""menuItemId"": 15, ""quantity"": 3}, {""menuItemId"": 18, ""quantity"": 1}]"
d8990790-f33d-4acf-b08c-fadba0b88f87,f1403ffc-67d0-41d3-938b-508ee61fe92e,2023-01-03T00:00:00,enviado,477.86,"[{""menuItemId"": 2, ""quantity"": 2}, {""menuItemId"": 0, ""quantity"": 2}, {""menuItemId"": 3, ""quantity"": 3}, {""menuItemId"": 1, ""quantity"": 1}]"
dfb85945-abae-41fc-8717-ab58cb813f84,49727cb3-48e9-4e9a-9df2-062039db6815,2024-12-07T00:00:00,pendiente,219.52,"[{""menuItemId"": 16, ""quantity"": 2}, {""menuItemId"": 19, ""quantity"": 3}]"
e6e67854-7f78-4648-bda8-dd279ad48ca7,49727cb3-48e9-4e9a-9df2-062039db6815,2023-04-10T00:00:00,cancelado,285.81,"[{""menuItemId"": 15, ""quantity"": 3}, {""menuItemId"": 19, ""quantity"": 3}]"
c9f02740-a3bc-40b6-b5a6-4e5685e3dfc0,cb61af4e-20e9-46b2-8079-e6ee06ddfdc0,2024-12-08T00:00:00,entregado,307.2,"[{""menuItemId"": 49, ""quantity"": 2}, {""menuItemId"": 47, ""quantity"": 2}]"
2b18baa6-3342-41a3-861b-f1ec5b14014c,cb61af4e-20e9-46b2-8079-e6ee06ddfdc0,2023-09-20T00:00:00,enviado,300.12,"[{""menuItemId"": 46, ""quantity"": 3}, {""menuItemId"": 47, ""quantity"": 3}]"
e09ca7af-70d2-4eea-883d-52458ba5cd80,cb61af4e-20e9-46b2-8079-e6ee06ddfdc0,2024-08-12T00:00:00,enviado,127.58,"[{""menuItemId"": 49, ""quantity"": 1}, {""menuItemId"": 48, ""quantity"": 1}]"
b51896a1-7bf4-458e-a47a-964ec2bbea92,cf55bb40-3079-4a09-9c42-03f7616f304c,2024-04-04T00:00:00,entregado,578.9,"[{""menuItemId"": 20, ""quantity"": 1}, {""menuItemId"": 23, ""quantity"": 2}, {""menuItemId"": 24, ""quantity"": 1}, {""menuItemId"": 21, ""quantity"": 3}]"
0877f73c-0808-4e53-b313-bb4097d9191a,49727cb3-48e9-4e9a-9df2-062039db6815,2024-10-25T00:00:00,cancelado,310.54,"[{""menuItemId"": 19, ""quantity"": 3}, {""menuItemId"": 16, ""quantity"": 2}, {""menuItemId"": 15, ""quantity"": 2}]"
