_id,usuarioId,restauranteId,fecha,estado,total,items
8e1e3121-b807-4664-b8f3-a493e95c4626,2d4ebe68-0b3c-4007-8330-2f3bea64ea8e,650b0871-2e2a-4a19-ae1e-e543c56f7cc5,2023-10-17T00:00:00,pendiente,817.27,"[{'menuItemId': '79ecb324-4f0f-483c-b651-50fccbbbfdca', 'cantidad': 2}, {'menuItemId': 'dc9d62ff-7dd9-4cc6-b3ed-21591ef772c4', 'cantidad': 3}, {'menuItemId': '311e5aac-6d1d-44f4-84b9-8526d49aef16', 'cantidad': 3}, {'menuItemId': '8b8478f0-3ee0-49d2-85e2-532b0d3b5c6c', 'cantidad': 3}]"
461cd5be-0036-4f03-bf65-0efe578605d6,6cf53f1f-555b-4f74-bd72-df348c03d58a,13b58a4d-54e2-4132-b35c-d069f115c848,2024-11-29T00:00:00,pendiente,707.34,"[{'menuItemId': '2bc8488d-be58-4af4-9e8a-7d54dbce4a9c', 'cantidad': 3}, {'menuItemId': '67f298b4-12f4-4dd0-9d90-6e57a1cfaf1c', 'cantidad': 3}, {'menuItemId': 'a9d01cc4-d373-4684-a3ff-11969d76f4dc', 'cantidad': 3}, {'menuItemId': '14f23e16-4c5d-4c6f-b2e3-a6b0797b11a4', 'cantidad': 1}]"
47d63ca0-8a2d-482e-8f7b-b9d7f003f4c3,eec6032f-bef6-428a-8820-554262216e4b,3b0ddef6-005b-4ebd-b9b5-75242bca19fc,2023-05-03T00:00:00,pendiente,388.02,"[{'menuItemId': '3b1700d2-ace9-4cf6-ba91-d12737818420', 'cantidad': 3}, {'menuItemId': 'c5b800d8-1429-450f-b989-485c1bdba7bf', 'cantidad': 3}]"
88281a10-2828-4d96-82aa-6d42df43c634,f28b07b8-4967-4015-a5c1-0d34c9c63183,1e28c03d-1130-4fcc-bd9e-f4bdcd4f67da,2024-04-29T00:00:00,enviado,579.11,"[{'menuItemId': '1d5efe25-69b2-4c04-828b-295b2630bb83', 'cantidad': 1}, {'menuItemId': '5565e071-822e-4690-a38a-ac9de0aeebd6', 'cantidad': 3}, {'menuItemId': 'c2ee16ca-8782-4540-bb74-925fba77e3cc', 'cantidad': 3}]"
28767c81-e3cc-455e-9c38-9ebba4e497d7,e922a4da-c238-4f5a-86e6-ff6b6a6a10d8,64e70b19-352a-4d08-9e6a-249baec89cfa,2023-09-30T00:00:00,entregado,260.55,"[{'menuItemId': 'd7ed750a-fcc8-4730-9d9a-ecc872f71e4c', 'cantidad': 2}, {'menuItemId': 'd82a0783-d9b8-4acb-bbaf-cfb14ae3e76d', 'cantidad': 3}]"
02047473-bf3d-4d15-ae33-806bb86dc5ee,eec6032f-bef6-428a-8820-554262216e4b,e795e0fe-b9a2-4ce4-b735-9d6992fe1b3e,2023-11-11T00:00:00,cancelado,513.14,"[{'menuItemId': 'c99855e5-901a-4a61-bbb5-6318581bfc69', 'cantidad': 3}, {'menuItemId': '474af805-0d15-410c-8cdb-520ad0f09a79', 'cantidad': 3}, {'menuItemId': '355f369e-a9ca-4d99-8a31-2d7ffa2d57ef', 'cantidad': 2}, {'menuItemId': 'ce8f82d9-1813-4784-9905-b76b15164d4b', 'cantidad': 2}]"
73fadcd5-83ad-4ae2-b592-c39d32280f94,c2958239-0c25-401b-8b94-1ae901095606,f3622cae-f794-41b3-b176-4367aba2df3f,2024-04-01T00:00:00,enviado,410.25,"[{'menuItemId': 'd756a3a5-bf95-44bb-97e6-cb5fc5e43b33', 'cantidad': 1}, {'menuItemId': '54c40a10-5f10-4f76-a6ff-e4cec9d723e0', 'cantidad': 3}, {'menuItemId': '6a9cae3a-7565-4818-a403-c6c1fc498202', 'cantidad': 3}]"
5179c34b-006c-4d4c-81bb-4f77bd430050,965d6eca-e99e-4352-98ae-c5bb3ae26f64,1e28c03d-1130-4fcc-bd9e-f4bdcd4f67da,2023-07-08T00:00:00,entregado,118.14,"[{'menuItemId': 'd15ff9ab-c8a7-427f-9984-ac1ed7eb44f1', 'cantidad': 2}]"
a9fff9cd-a593-4a09-8221-9d718f0f6fe3,f02c9627-9a1b-425d-a67e-31672685dd2e,3b0ddef6-005b-4ebd-b9b5-75242bca19fc,2023-03-18T00:00:00,cancelado,334.5,"[{'menuItemId': 'ce848bad-92db-44e8-8da1-0a08c2c76ec0', 'cantidad': 2}, {'menuItemId': '3b1700d2-ace9-4cf6-ba91-d12737818420', 'cantidad': 2}]"
7e7420a0-23c0-4bd6-ade7-ddcf0d506d32,d791e32d-4281-40df-90a3-20648548ea5d,650b0871-2e2a-4a19-ae1e-e543c56f7cc5,2024-12-01T00:00:00,enviado,84.91,"[{'menuItemId': '8b8478f0-3ee0-49d2-85e2-532b0d3b5c6c', 'cantidad': 1}]"
