id,userId,restaurantId,date,status,total,items
0df87f9af04c444793e495f8,45d31329781440f28695c7f4,593993d083e0431ea951cdd7,2023-03-01,enviado,158.38,"[{""menuItemId"": ""70543af92f634508bc5b4455"", ""quantity"": 2}]"
18ce24a774fa4cd59031b831,580428a46b924b3e8846b9eb,593993d083e0431ea951cdd7,2023-03-02,entregado,115.17,"[{""menuItemId"": ""70543af92f634508bc5b4455"", ""quantity"": 3}]"
49b3fe86c7f54f50bf0428c1,8680e38af0284e67873ef661,593993d083e0431ea951cdd7,2023-03-03,entregado,123.96,"[{""menuItemId"": ""f464ba95f48f49eca8a62e36"", ""quantity"": 3}]"
42f1459d68084e8fb0487bc6,158487c536d3459c99c163f2,593993d083e0431ea951cdd7,2023-03-04,enviado,238.35,"[{""menuItemId"": ""f464ba95f48f49eca8a62e36"", ""quantity"": 3}]"
5b7f79048c4445ab9a6b911c,0ddec402dc494a60891e9195,593993d083e0431ea951cdd7,2023-03-05,enviado,169.54,"[{""menuItemId"": ""a9d7e43e992e404f83527cc1"", ""quantity"": 3}]"
6406d7fe7b104eed93ab857e,158487c536d3459c99c163f2,593993d083e0431ea951cdd7,2023-03-06,cancelado,56.43,"[{""menuItemId"": ""643d49d07a49423da07d7d6a"", ""quantity"": 1}]"
b7f1091e1e6944af89005760,580428a46b924b3e8846b9eb,593993d083e0431ea951cdd7,2023-03-07,cancelado,150.82,"[{""menuItemId"": ""643d49d07a49423da07d7d6a"", ""quantity"": 2}]"
c76092b430fa40a286871435,8680e38af0284e67873ef661,593993d083e0431ea951cdd7,2023-03-08,enviado,231.84,"[{""menuItemId"": ""643d49d07a49423da07d7d6a"", ""quantity"": 1}]"
a62b7a34b4ec41ddb39aec11,45d31329781440f28695c7f4,593993d083e0431ea951cdd7,2023-03-09,pendiente,170.28,"[{""menuItemId"": ""97e4f43e3d5a4ec78522dbc5"", ""quantity"": 2}]"
6d374e3a0ba0413087b6bb55,0ddec402dc494a60891e9195,593993d083e0431ea951cdd7,2023-03-10,enviado,239.08,"[{""menuItemId"": ""97e4f43e3d5a4ec78522dbc5"", ""quantity"": 1}]"
402a9c15b15148df991361e3,8d0b12f2be05444cb7ed86db,593993d083e0431ea951cdd7,2023-03-11,cancelado,191.15,"[{""menuItemId"": ""70543af92f634508bc5b4455"", ""quantity"": 3}]"
700f7f6f2146473fac0d0828,0ddec402dc494a60891e9195,593993d083e0431ea951cdd7,2023-03-12,pendiente,230.18,"[{""menuItemId"": ""a9d7e43e992e404f83527cc1"", ""quantity"": 2}]"
fc96d33853624746beba37ee,8d0b12f2be05444cb7ed86db,593993d083e0431ea951cdd7,2023-03-13,cancelado,52.79,"[{""menuItemId"": ""f464ba95f48f49eca8a62e36"", ""quantity"": 3}]"
af2eb56a2fdf473face2d831,8d0b12f2be05444cb7ed86db,593993d083e0431ea951cdd7,2023-03-14,enviado,195.97,"[{""menuItemId"": ""70543af92f634508bc5b4455"", ""quantity"": 2}]"
dd0f13be2e1c4551b28533d7,0ddec402dc494a60891e9195,593993d083e0431ea951cdd7,2023-03-15,cancelado,95.52,"[{""menuItemId"": ""f464ba95f48f49eca8a62e36"", ""quantity"": 2}]"
6ca6b136aa414f08b95bfa12,8680e38af0284e67873ef661,593993d083e0431ea951cdd7,2023-03-16,cancelado,227.55,"[{""menuItemId"": ""a9d7e43e992e404f83527cc1"", ""quantity"": 3}]"
5b167f652ab2489d9ec37cdb,9e9446d6dcc04a5aa3ed5db5,593993d083e0431ea951cdd7,2023-03-17,enviado,224.32,"[{""menuItemId"": ""a9d7e43e992e404f83527cc1"", ""quantity"": 2}]"
42aa8acf5f6e4f7abca122a7,8680e38af0284e67873ef661,593993d083e0431ea951cdd7,2023-03-18,enviado,107.02,"[{""menuItemId"": ""a9d7e43e992e404f83527cc1"", ""quantity"": 1}]"
1f56852e986a4b6891e32ef4,8d0b12f2be05444cb7ed86db,593993d083e0431ea951cdd7,2023-03-19,cancelado,249.09,"[{""menuItemId"": ""70543af92f634508bc5b4455"", ""quantity"": 3}]"
f981fa460aca4a50a08dd30d,9e9446d6dcc04a5aa3ed5db5,593993d083e0431ea951cdd7,2023-03-20,cancelado,121.53,"[{""menuItemId"": ""643d49d07a49423da07d7d6a"", ""quantity"": 3}]"
4c124b79557d42f593174d44,6d9cce8cbcc44421b305fb61,593993d083e0431ea951cdd7,2023-03-21,enviado,58.68,"[{""menuItemId"": ""97e4f43e3d5a4ec78522dbc5"", ""quantity"": 3}]"
46935a8d091d4cac945ab1d1,158487c536d3459c99c163f2,593993d083e0431ea951cdd7,2023-03-22,pendiente,52.59,"[{""menuItemId"": ""70543af92f634508bc5b4455"", ""quantity"": 2}]"
77303fbcd88c4febb16e0d03,8680e38af0284e67873ef661,593993d083e0431ea951cdd7,2023-03-23,enviado,184.75,"[{""menuItemId"": ""97e4f43e3d5a4ec78522dbc5"", ""quantity"": 1}]"
92bf2b3aa1b04dcdb8e17670,8680e38af0284e67873ef661,593993d083e0431ea951cdd7,2023-03-24,cancelado,89.65,"[{""menuItemId"": ""97e4f43e3d5a4ec78522dbc5"", ""quantity"": 3}]"
a3d876eb21c04f8faeb34a9b,580428a46b924b3e8846b9eb,593993d083e0431ea951cdd7,2023-03-25,entregado,103.89,"[{""menuItemId"": ""643d49d07a49423da07d7d6a"", ""quantity"": 1}]"
40e1870bbb584f3da263ee07,580428a46b924b3e8846b9eb,593993d083e0431ea951cdd7,2023-03-26,entregado,83.19,"[{""menuItemId"": ""97e4f43e3d5a4ec78522dbc5"", ""quantity"": 2}]"
7720d3dc3a04496991b447a4,580428a46b924b3e8846b9eb,593993d083e0431ea951cdd7,2023-03-27,pendiente,197.32,"[{""menuItemId"": ""f464ba95f48f49eca8a62e36"", ""quantity"": 2}]"
44b01ec5c1ed49daab5b19a6,9e9446d6dcc04a5aa3ed5db5,593993d083e0431ea951cdd7,2023-03-28,enviado,156.25,"[{""menuItemId"": ""97e4f43e3d5a4ec78522dbc5"", ""quantity"": 1}]"
10ee1a682148487fb91acd87,9e9446d6dcc04a5aa3ed5db5,593993d083e0431ea951cdd7,2023-03-29,entregado,88.81,"[{""menuItemId"": ""70543af92f634508bc5b4455"", ""quantity"": 2}]"
41f05175eb994abdaa78518d,158487c536d3459c99c163f2,593993d083e0431ea951cdd7,2023-03-30,enviado,149.97,"[{""menuItemId"": ""643d49d07a49423da07d7d6a"", ""quantity"": 2}]"
2f3f84f68dbb489ba37c838b,158487c536d3459c99c163f2,dcf994a7fb4241c680267d00,2023-03-31,enviado,225.25,"[{""menuItemId"": ""dc3c2a6ea368458eba71088d"", ""quantity"": 3}]"
9ea0ce0edfad4d76af399e16,580428a46b924b3e8846b9eb,f014b48cb2ef4623b6b6f1ff,2023-04-01,cancelado,94.83,"[{""menuItemId"": ""ab240d92e13f4e4cb33024d4"", ""quantity"": 1}]"
30e8499bcd4e4714979435d7,158487c536d3459c99c163f2,dcf994a7fb4241c680267d00,2023-04-02,entregado,155.56,"[{""menuItemId"": ""d87fdacd0f104564a471f32e"", ""quantity"": 1}]"
921ee66e7c19435790b79947,9e9446d6dcc04a5aa3ed5db5,dcf994a7fb4241c680267d00,2023-04-03,pendiente,70.65,"[{""menuItemId"": ""dc3c2a6ea368458eba71088d"", ""quantity"": 1}]"
b906872134ec4991af4b8555,158487c536d3459c99c163f2,dcf994a7fb4241c680267d00,2023-04-04,enviado,172.57,"[{""menuItemId"": ""eab222d0e2ed4dc2bf4bd545"", ""quantity"": 3}]"
023cf92b57e640e59f974f98,45d31329781440f28695c7f4,d8fc3f8e20bd4448a13e75a4,2023-04-05,cancelado,161.48,"[{""menuItemId"": ""255952d97990447aa8eaef21"", ""quantity"": 1}]"
