id,userId,restaurantId,orderId,rating,comment,date
2bbcbf4b43f44796a7408776,8680e38af0284e67873ef661,593993d083e0431ea951cdd7,6ca6b136aa414f08b95bfa12,5,Excelente!,2023-03-16
c8736d33471f4c409d0fea71,8680e38af0284e67873ef661,593993d083e0431ea951cdd7,49b3fe86c7f54f50bf0428c1,5,Excelente!,2023-03-03
bad1db47602c47b18f9b8a49,0ddec402dc494a60891e9195,f014b48cb2ef4623b6b6f1ff,9fa7e4fbf72b487aa715b6d0,2,Estuvo bien.,2023-04-19
1627c1f79f1e48ad9fee3fd1,8d0b12f2be05444cb7ed86db,593993d083e0431ea951cdd7,af2eb56a2fdf473face2d831,5,Excelente!,2023-03-14
db18897bb45a4d9ca13fcec5,0ddec402dc494a60891e9195,593993d083e0431ea951cdd7,5b7f79048c4445ab9a6b911c,5,Excelente!,2023-03-05
5be1f8f682bd4316bf5f6ba4,580428a46b924b3e8846b9eb,593993d083e0431ea951cdd7,40e1870bbb584f3da263ee07,5,Excelente!,2023-03-26
4404fb53c81c45feb64c0d7e,580428a46b924b3e8846b9eb,593993d083e0431ea951cdd7,18ce24a774fa4cd59031b831,5,Excelente!,2023-03-02
e030831a57414c6dab660e55,45d31329781440f28695c7f4,593993d083e0431ea951cdd7,0df87f9af04c444793e495f8,5,Excelente!,2023-03-01
aa5345934a014d658cf75d80,580428a46b924b3e8846b9eb,593993d083e0431ea951cdd7,7720d3dc3a04496991b447a4,5,Excelente!,2023-03-27
df14de276ea345cf85f28b34,6d9cce8cbcc44421b305fb61,593993d083e0431ea951cdd7,4c124b79557d42f593174d44,5,Excelente!,2023-03-21
125c6c57d51240e79cc56332,45d31329781440f28695c7f4,d8fc3f8e20bd4448a13e75a4,023cf92b57e640e59f974f98,3,Estuvo bien.,2023-04-05
c2f43088dc9449ffb5841573,580428a46b924b3e8846b9eb,d8fc3f8e20bd4448a13e75a4,ac07cb5b160e4f01b2de01c7,2,Estuvo bien.,2023-04-13
06a7c96b08024109a5e75c4b,9e9446d6dcc04a5aa3ed5db5,3dc081fa6825497fa4e7ff0c,1c0d5af4508848f18f5642a4,4,Estuvo bien.,2023-04-18
83569d535ca549a092113873,8d0b12f2be05444cb7ed86db,012d072e27fe41ac99200dc7,43da35dfd901448386593794,4,Estuvo bien.,2023-04-17
f5c5cc1baf2041b48e3a0dbd,9e9446d6dcc04a5aa3ed5db5,593993d083e0431ea951cdd7,44b01ec5c1ed49daab5b19a6,5,Excelente!,2023-03-28
f02f40679fd043acb6dfa7dd,8d0b12f2be05444cb7ed86db,593993d083e0431ea951cdd7,1f56852e986a4b6891e32ef4,5,Excelente!,2023-03-19
8a192a1d6aa942fa99895651,0ddec402dc494a60891e9195,593993d083e0431ea951cdd7,700f7f6f2146473fac0d0828,5,Excelente!,2023-03-12
5d590e6a6ea04cec881549e7,9e9446d6dcc04a5aa3ed5db5,593993d083e0431ea951cdd7,f981fa460aca4a50a08dd30d,5,Excelente!,2023-03-20
be7c9c25424a4b729fb52810,8680e38af0284e67873ef661,593993d083e0431ea951cdd7,c76092b430fa40a286871435,5,Excelente!,2023-03-08
d3b257e4e4a14a7da69c8fe7,0ddec402dc494a60891e9195,593993d083e0431ea951cdd7,6d374e3a0ba0413087b6bb55,5,Excelente!,2023-03-10
382368fd853749508a67bbf1,158487c536d3459c99c163f2,593993d083e0431ea951cdd7,46935a8d091d4cac945ab1d1,5,Excelente!,2023-03-22
8ce24d8986194d9a8851bfd3,580428a46b924b3e8846b9eb,dcf994a7fb4241c680267d00,14832fbc26c54d63957ff817,3,Estuvo bien.,2023-04-10
ac8a60bd55e549a79f6cf62c,9e9446d6dcc04a5aa3ed5db5,3dc081fa6825497fa4e7ff0c,34958a29a30f4cfeaeb66cca,3,Estuvo bien.,2023-04-11
60a819bd01d74f2590803edd,8d0b12f2be05444cb7ed86db,593993d083e0431ea951cdd7,402a9c15b15148df991361e3,5,Excelente!,2023-03-11
fab4c90d9e624ac0b6f64b8e,580428a46b924b3e8846b9eb,593993d083e0431ea951cdd7,b7f1091e1e6944af89005760,5,Excelente!,2023-03-07
41eb7692d0134a09bc8b4516,9e9446d6dcc04a5aa3ed5db5,593993d083e0431ea951cdd7,5b167f652ab2489d9ec37cdb,5,Excelente!,2023-03-17
5887504a9eb34e5eadb761af,6d9cce8cbcc44421b305fb61,d8fc3f8e20bd4448a13e75a4,74f496ca2df14231afb11920,4,Estuvo bien.,2023-04-12
63c6aebcdab44c09b3b8f749,9e9446d6dcc04a5aa3ed5db5,dcf994a7fb4241c680267d00,921ee66e7c19435790b79947,2,Estuvo bien.,2023-04-03
598aed7a07334e1aa6526f4b,0ddec402dc494a60891e9195,3dc081fa6825497fa4e7ff0c,d747a8ee36734849a22433c2,3,Estuvo bien.,2023-04-15
e01b65d3f7ef4cf88d6cda6a,0ddec402dc494a60891e9195,593993d083e0431ea951cdd7,dd0f13be2e1c4551b28533d7,5,Excelente!,2023-03-15
